Resize Factor,Thread Count,Output
0.1,1,0.1210641860961914
0.1,2,0.061964988708496094
0.1,4,0.04628300666809082
0.1,8,0.0454859733581543
0.2,1,0.3963446617126465
0.2,2,0.21545004844665527
0.2,4,0.15789246559143066
0.2,8,0.12817740440368652
0.3,1,0.9704289436340332
0.3,2,0.5204887390136719
0.3,4,0.3392770290374756
0.3,8,0.26053309440612793
0.4,1,1.6871716976165771
0.4,2,1.1250557899475098
0.4,4,0.5995686054229736
0.4,8,0.45443224906921387
0.5,1,2.686718702316284
0.5,2,1.7810707092285156
0.5,4,0.9899284839630127
0.5,8,0.7576515674591064
0.6,1,3.8872110843658447
0.6,2,2.1552329063415527
0.6,4,1.449319839477539
0.6,8,1.090897560119629
0.7,1,8.034151315689087
0.7,2,2.9432625770568848
0.7,4,1.9202957153320312
0.7,8,1.4103450775146484
0.8,1,6.753907918930054
0.8,2,3.873194694519043
0.8,4,2.5000956058502197
0.8,8,2.0280227661132812
0.9,1,10.238162755966187
0.9,2,4.899385690689087
0.9,4,3.1429665088653564
0.9,8,2.6566812992095947
1,1,10.956770896911621
1,2,6.1115562915802
1,4,3.856147527694702
1,8,3.179605722427368
0.1,1,0.11070084571838379
0.1,2,0.06173205375671387
0.1,4,0.04802680015563965
0.1,8,0.04708743095397949
0.2,1,0.38039135932922363
0.2,2,0.21689963340759277
0.2,4,0.14279699325561523
0.2,8,0.12775421142578125
0.3,1,0.9568490982055664
0.3,2,0.5301556587219238
0.3,4,0.3144235610961914
0.3,8,0.26560258865356445
0.4,1,1.7083299160003662
0.4,2,1.1474273204803467
0.4,4,0.6193807125091553
0.4,8,0.44109344482421875
0.5,1,2.7076635360717773
0.5,2,1.5142030715942383
0.5,4,0.9807710647583008
0.5,8,0.7215445041656494
0.6,1,3.8121864795684814
0.6,2,2.1716654300689697
0.6,4,1.4162533283233643
0.6,8,1.0988976955413818
0.7,1,5.139724969863892
0.7,2,3.0460128784179688
0.7,4,1.8883156776428223
0.7,8,1.4048526287078857
0.8,1,6.781529903411865
0.8,2,3.8272206783294678
0.8,4,2.4599242210388184
0.8,8,2.074608325958252
0.9,1,8.758133172988892
0.9,2,4.842129945755005
0.9,4,3.076390266418457
0.9,8,2.5429625511169434
1,1,11.855137586593628
1,2,6.89119029045105
1,4,3.980592966079712
1,8,3.2744243144989014
0.1,1,0.12282562255859375
0.1,2,0.06161212921142578
0.1,4,0.05801725387573242
0.1,8,0.04628920555114746
0.2,1,0.39292311668395996
0.2,2,0.21740150451660156
0.2,4,0.16224384307861328
0.2,8,0.1269819736480713
0.3,1,0.9581069946289062
0.3,2,0.5320935249328613
0.3,4,0.3124556541442871
0.3,8,0.26741504669189453
0.4,1,1.7055954933166504
0.4,2,1.1809334754943848
0.4,4,0.5948081016540527
0.4,8,0.4528481960296631
0.5,1,2.699481248855591
0.5,2,1.5119531154632568
0.5,4,0.9822402000427246
0.5,8,0.7282547950744629
0.6,1,3.846806049346924
0.6,2,2.158398389816284
0.6,4,1.435971975326538
0.6,8,1.0577547550201416
0.7,1,5.1452813148498535
0.7,2,2.929699659347534
0.7,4,1.9573795795440674
0.7,8,1.4551293849945068
0.8,1,7.082445859909058
0.8,2,3.80810809135437
0.8,4,2.487661600112915
0.8,8,2.1577913761138916
0.9,1,10.618824005126953
0.9,2,4.8644185066223145
0.9,4,3.1232669353485107
0.9,8,2.6625664234161377
1,1,10.789044618606567
1,2,6.5537331104278564
1,4,3.8609135150909424
1,8,3.2952120304107666
0.1,1,0.10447287559509277
0.1,2,0.061806678771972656
0.1,4,0.0553131103515625
0.1,8,0.045799970626831055
0.2,1,0.3899662494659424
0.2,2,0.2176358699798584
0.2,4,0.16904950141906738
0.2,8,0.1257312297821045
0.3,1,0.9894905090332031
0.3,2,0.5192406177520752
0.3,4,0.3707737922668457
0.3,8,0.26343393325805664
0.4,1,1.7229182720184326
0.4,2,1.681764841079712
0.4,4,0.5913658142089844
0.4,8,0.4514501094818115
0.5,1,2.7038755416870117
0.5,2,1.5196521282196045
0.5,4,0.9878852367401123
0.5,8,0.7381386756896973
0.6,1,3.802560806274414
0.6,2,2.1522560119628906
0.6,4,1.4035401344299316
0.6,8,1.076636552810669
0.7,1,5.291473865509033
0.7,2,2.9439339637756348
0.7,4,1.9101369380950928
0.7,8,1.4419970512390137
0.8,1,6.821519613265991
0.8,2,3.847296953201294
0.8,4,2.4978690147399902
0.8,8,2.0206265449523926
0.9,1,8.536396265029907
0.9,2,4.837800979614258
0.9,4,3.1631433963775635
0.9,8,2.6083340644836426
1,1,10.72145128250122
1,2,6.430600881576538
1,4,3.8227248191833496
1,8,3.1906516551971436
0.1,1,0.10939741134643555
0.1,2,0.06217622756958008
0.1,4,0.054601430892944336
0.1,8,0.04640078544616699
0.2,1,0.4141361713409424
0.2,2,0.2180333137512207
0.2,4,0.1562061309814453
0.2,8,0.1298973560333252
0.3,1,0.956153154373169
0.3,2,0.5205111503601074
0.3,4,0.34396886825561523
0.3,8,0.2541487216949463
0.4,1,1.7003674507141113
0.4,2,1.1735455989837646
0.4,4,0.6113302707672119
0.4,8,0.45126986503601074
0.5,1,2.707561731338501
0.5,2,2.2463724613189697
0.5,4,0.9902570247650146
0.5,8,0.7740399837493896
0.6,1,3.8189964294433594
0.6,2,2.158024787902832
0.6,4,1.4401423931121826
0.6,8,1.0880308151245117
0.7,1,8.312623262405396
0.7,2,3.927082061767578
0.7,4,1.9004292488098145
0.7,8,1.4205288887023926
0.8,1,8.4274423122406
0.8,2,3.8692917823791504
0.8,4,2.543639898300171
0.8,8,2.143204927444458
0.9,1,12.789997339248657
0.9,2,4.835108518600464
0.9,4,3.0562586784362793
0.9,8,2.631174087524414
1,1,10.81323504447937
1,2,9.018403053283691
1,4,3.9898922443389893
1,8,3.328549385070801
